N     Sum up     Sum down
416      0.53749835       6.6091042
417      0.53921068       6.6115022
418      0.54092592       6.6138945
419      0.54264414       6.616281
420      0.54436529       6.6186619
421      0.54608941       6.621037
422      0.54781651       6.6234069
423      0.5495466       6.625771
424      0.55127972       6.6281295
425      0.55301583       6.6304822
426      0.55475497       6.6328297
427      0.55649716       6.6351714
428      0.55824238       6.6375079
429      0.55999064       6.6398387
430      0.56174195       6.6421642
431      0.56349635       6.6444845
432      0.56525379       6.6467996
433      0.56701434       6.6491089
434      0.56877798       6.651413
435      0.57054478       6.6537118
436      0.57231468       6.6560054
437      0.57408774       6.6582937
438      0.57586396       6.6605768
439      0.57764333       6.6628547
440      0.57942587       6.6651273
441      0.58121157       6.6673946
442      0.58300048       6.6696572
443      0.58479261       6.6719146
444      0.58658797       6.6741667
445      0.58838654       6.676414
446      0.59018832       6.6786561
447      0.59199339       6.6808934
448      0.59380174       6.6831255
449      0.59561336       6.6853528
450      0.59742826       6.6875749
451      0.59924644       6.6897922
452      0.60106796       6.6920047
453      0.60289276       6.694212
454      0.60472089       6.6964145
455      0.60655242       6.6986122
456      0.60838729       6.7008052
457      0.6102255       6.7029934
458      0.6120671       6.7051768
459      0.61391211       6.7073555
460      0.61576051       6.7095294
461      0.61761236       6.7116985
462      0.61946768       6.7138629
463      0.62132639       6.7160225
464      0.62318856       6.7181778
465      0.62505424       6.7203283
466      0.62692338       6.7224741
467      0.62879604       6.7246156
468      0.63067222       6.7267523
469      0.63255191       6.7288847
470      0.63443518       6.7310123
471      0.63632196       6.7331357
472      0.63821232       6.7352543
473      0.64010626       6.7373686
474      0.64200377       6.7394781
475      0.64390492       6.7415833
476      0.64580971       6.7436843
477      0.64771813       6.7457809
478      0.64963019       6.7478728
479      0.65154588       6.7499604
480      0.65346527       6.7520437
481      0.65538836       6.7541227
482      0.65731514       6.7561975
483      0.65924561       6.7582679
484      0.66117984       6.760334
485      0.66311783       6.7623959
486      0.66505957       6.7644534
487      0.66700506       6.7665067
488      0.66895437       6.7685556
489      0.6709075       6.7706008
490      0.67286444       6.7726417
491      0.67482525       6.7746782
492      0.67678988       6.776711
493      0.67875838       6.7787395
494      0.68073076       6.7807636
495      0.68270707       6.782784
496      0.68468726       6.7848001
497      0.68667138       6.7868123
498      0.68865943       6.7888203
499      0.69065148       6.7908244
500      0.69264746       6.7928243
501      0.69464743       6.7948203
502      0.69665146       6.7968125
503      0.69865948       6.7988005
504      0.70067155       6.8007846
505      0.70268768       6.8027649
506      0.70470786       6.8047414
507      0.70673215       6.8067136
508      0.70876056       6.808682
509      0.71079308       6.8106465
510      0.71282971       6.8126073
511      0.71487051       6.8145642
512      0.71691549       6.8165174
513      0.7189647       6.8184667
514      0.72101808       6.8204122
515      0.72307569       6.8223538
516      0.72513753       6.8242917
517      0.72720367       6.8262258
518      0.72927403       6.8281565
519      0.73134875       6.8300834
520      0.73342776       6.8320065
521      0.73551112       6.8339257
522      0.73759884       6.8358417
523      0.7396909       6.8377538
524      0.74178731       6.8396621
525      0.74388814       6.841567
526      0.74599338       6.8434682
527      0.74810308       6.8453655
528      0.75021726       6.8472595
529      0.75233591       6.8491497
530      0.75445902       6.8510365
531      0.75658667       6.8529196
532      0.75871885       6.8547993
533      0.76085562       6.8566756
534      0.76299697       6.8585482
535      0.76514292       6.8604174
536      0.76729345       6.8622832
537      0.76944864       6.8641453
538      0.77160847       6.866004
539      0.77377295       6.8678594
540      0.77594215       6.8697114
541      0.77811605       6.8715596
542      0.78029472       6.8734045
543      0.78247809       6.875246
544      0.7846663       6.8770843
545      0.78685927       6.8789191
546      0.78905708       6.8807507
547      0.79125971       6.8825788
548      0.79346722       6.8844037
549      0.79567963       6.8862252
550      0.79789692       6.8880434
551      0.80011916       6.8898582
552      0.80234635       6.8916698
553      0.80457848       6.8934779
554      0.80681562       6.8952827
555      0.80905777       6.8970847
556      0.81130499       6.8988833
557      0.81355727       6.9006786
558      0.81581461       6.9024706
559      0.81807709       6.9042597
560      0.82034469       6.9060454
561      0.82261741       6.9078279
562      0.82489532       6.9096074
563      0.82717842       6.9113836
564      0.82946676       6.9131565
565      0.83176035       6.9149265
566      0.83405918       6.9166932
567      0.83636332       6.918457
568      0.83867276       6.9202175
569      0.84098756       6.9219751
570      0.84330773       6.9237294
571      0.84563333       6.9254808
572      0.84796435       6.9272289
573      0.85030079       6.9289742
574      0.85264271       6.9307165
575      0.85499012       6.9324555
576      0.85734308       6.9341917
577      0.85970157       6.935925
578      0.86206561       6.937655
579      0.86443526       6.9393821
580      0.86681056       6.9411063
581      0.86919153       6.9428277
582      0.87157816       6.9445457
583      0.87397051       6.9462609
584      0.87636858       6.9479733
585      0.87877244       6.9496827
586      0.88118207       6.9513893
587      0.88359755       6.9530931
588      0.88601887       6.9547939
589      0.88844603       6.9564919
590      0.89087909       6.9581866
591      0.89331812       6.9598784
592      0.8957631       6.9615674
593      0.8982141       6.963254
594      0.90067112       6.9649377
595      0.90313417       6.9666185
596      0.90560329       6.9682965
597      0.90807855       6.9699717
598      0.91055995       6.9716439
599      0.91304749       6.9733133
600      0.91554123       6.9749799
601      0.91804123       6.9766436
602      0.92054749       6.9783049
603      0.92306006       6.9799633
604      0.92557895       6.9816189
605      0.92810422       6.9832716
606      0.93063587       6.9849219
607      0.93317395       6.9865694
608      0.93571848       6.988214
609      0.9382695       6.9898562
610      0.94082701       6.9914956
611      0.94339114       6.9931321
612      0.94596183       6.9947662
613      0.94853914       6.9963975
614      0.95112312       6.9980264
615      0.95371377       6.9996524
616      0.95631117       7.0012755
617      0.95891535       7.0028963
618      0.96152633       7.0045142
619      0.96414411       7.0061297
620      0.9667688       7.0077429
621      0.96940041       7.0093532
622      0.97203892       7.0109611
623      0.97468442       7.0125661
624      0.97733694       7.0141687
625      0.9799965       7.0157685
626      0.98266315       7.0173659
627      0.98533696       7.018961
628      0.98801792       7.0205531
629      0.99070609       7.0221429
630      0.99340153       7.0237303
631      0.99610424       7.0253153
632      0.99881428       7.0268974
633      1.0015317       7.0284772
634      1.0042565       7.0300546
635      1.0069888       7.0316296
636      1.0097284       7.0332017
637      1.0124757       7.0347714
638      1.0152305       7.0363388
639      1.017993       7.0379038
640      1.020763       7.0394664
641      1.0235409       7.0410266
642      1.0263264       7.0425844
643      1.0291197       7.0441399
644      1.0319209       7.0456924
645      1.03473       7.0472426
646      1.0375469       7.0487905
647      1.0403718       7.0503359
648      1.0432047       7.0518789
649      1.0460455       7.0534196
650      1.0488945       7.0549579
651      1.0517516       7.0564938
652      1.0546169       7.0580273
653      1.0574905       7.0595589
654      1.0603724       7.0610881
655      1.0632626       7.0626149
656      1.0661612       7.0641394
657      1.0690681       7.0656614
658      1.0719836       7.0671811
